Class_id;Class_name;Vsl;Vsg;ID;Roughness;Ang;Density_L;Density_G;Visc_L;Visc_G;ST;P;T;model
5;IN;0.109295733;1.528527903;0.0549;0;1.03;799.6932153;9.23E+00;0.003217863;1.29E-05;0.015;1401.9;63.3;4
4;AN;0.108597261;3.218517811;0.0549;0;1.03;799.7650102;9.18E+00;0.003217863;1.29E-05;0.015;1410.7;58.9;4
4;AN;0.108040167;4.422101554;0.0549;0;1.03;799.1574899;1.01E+01;0.003217863;1.29E-05;0.015;1462.7;59.1;4
4;AN;0.103945289;6.305341086;0.0549;0;1.03;799.0795679;1.03E+01;0.003217863;1.29E-05;0.015;1467.7;54.3;4
5;IN;0.159431084;0.097185929;0.0549;0;1.03;800.8908825;1.10E+01;0.003217863;1.29E-05;0.015;1471.3;58.7;5
5;IN;0.134223965;0.420407306;0.0549;0;1.03;800.9524896;1.11E+01;0.003217863;1.29E-05;0.015;1465;62.5;5
5;IN;0.148696412;0.951331904;0.0549;0;1.03;800.8974995;1.10E+01;0.003217863;1.29E-05;0.015;1462.1;61.1;5
5;IN;0.149935337;1.548077422;0.0549;0;1.03;802.2861245;9.91E+00;0.003217863;1.29E-05;0.015;1435.9;60.5;4
4;AN;0.038153335;3.336624219;0.0549;0;1.03;799.7563682;9.15E+00;0.003217863;1.29E-05;0.015;1412.7;62.3;4
4;AN;0.146289049;4.767980528;0.0549;0;1.03;799.0785628;1.01E+01;0.003217863;1.29E-05;0.015;1461.9;58.9;4
4;AN;0.14953243;5.417393361;0.0549;0;1.03;798.8045797;1.03E+01;0.003217863;1.29E-05;0.015;1462.9;57.4;4
5;IN;0.203036962;0.115054453;0.0549;0;1.03;801.2753198;1.09E+01;0.003217863;1.29E-05;0.015;1475.8;59.5;5
5;IN;0.221390594;0.174687725;0.0549;0;1.03;801.2580198;1.09E+01;0.003217863;1.29E-05;0.015;1469.1;58.8;5
5;IN;0.217349771;0.931729107;0.0549;0;1.03;801.2244117;1.08E+01;0.003217863;1.29E-05;0.015;1470.3;60.1;5
5;IN;0.219945199;1.532155876;0.0549;0;1.03;799.4324968;9.35E+00;0.003217863;1.29E-05;0.015;1410.6;63;5
5;IN;0.219197009;3.142751609;0.0549;0;1.03;798.5051392;9.08E+00;0.003217863;1.29E-05;0.015;1418;61.1;4
4;AN;0.233109429;4.430571299;0.0549;0;1.03;799.3387926;9.18E+00;0.003217863;1.29E-05;0.015;1424.9;59.2;4
4;AN;0.240469576;6.223013908;0.0549;0;1.03;798.6080166;1.09E+01;0.003217863;1.29E-05;0.015;1467.1;55.9;4
5;IN;0.341423;0.106326768;0.0549;0;1.03;806.5911191;1.05E+01;0.003217863;1.29E-05;0.015;1408.2;59.6;5
5;IN;0.323414856;0.4512362;0.0549;0;1.03;807.0870919;1.09E+01;0.003217863;1.29E-05;0.015;1449.5;59.2;5
5;IN;0.336588581;0.911763234;0.0549;0;1.03;805.3088942;1.07E+01;0.003217863;1.29E-05;0.015;1450;57.8;5
5;IN;0.290688949;1.471329344;0.0549;0;1.03;799.118286;9.37E+00;0.003217863;1.29E-05;0.015;1414.7;62.6;5
5;IN;0.299144445;2.882280527;0.0549;0;1.03;798.6441571;1.05E+01;0.003217863;1.29E-05;0.015;1450.5;59.9;4
5;IN;0.290539646;4.156622963;0.0549;0;1.03;798.6405983;1.05E+01;0.003217863;1.29E-05;0.015;1459.7;59;4
5;IN;0.291267787;5.943432924;0.0549;0;1.03;798.7964356;9.47E+00;0.003217863;1.29E-05;0.015;1434.4;58;4
5;IN;0.783701011;0.277769814;0.0549;0;1.03;808.193168;1.07E+01;0.003217863;1.29E-05;0.015;1414.1;56.1;5
5;IN;0.76873978;0.397449201;0.0549;0;1.03;805.6373095;1.06E+01;0.003217863;1.29E-05;0.015;1416;56.2;5
5;IN;0.806151672;0.900509137;0.0549;0;1.03;806.178628;1.06E+01;0.003217863;1.29E-05;0.015;1424;56.3;5
